student_id,course_id,enrollment_id,grade
ST92,CS03,ST92CS03,81
ST37,CS18,ST37CS18,45
ST62,CS02,ST62CS02,43
ST04,CS18,ST04CS18,37
ST10,CS10,ST10CS10,24
ST65,CS17,ST65CS17,75
ST59,CS17,ST59CS17,34
ST32,CS18,ST32CS18,79
ST07,CS19,ST07CS19,66
ST97,CS04,ST97CS04,21
ST98,CS02,ST98CS02,28
ST71,CS18,ST71CS18,1
ST83,CS02,ST83CS02,37
ST85,CS15,ST85CS15,35
ST28,CS08,ST28CS08,42
ST44,CS11,ST44CS11,8
ST20,CS18,ST20CS18,23
ST90,CS18,ST90CS18,93
ST96,CS15,ST96CS15,12
ST14,CS15,ST14CS15,7
ST56,CS07,ST56CS07,34
ST87,CS15,ST87CS15,7
ST89,CS08,ST89CS08,90
ST17,CS03,ST17CS03,99
ST90,CS17,ST90CS17,95
ST37,CS17,ST37CS17,49
ST48,CS08,ST48CS08,4
ST11,CS11,ST11CS11,36
ST41,CS11,ST41CS11,4
ST61,CS11,ST61CS11,25
ST13,CS13,ST13CS13,52
ST50,CS18,ST50CS18,80
ST37,CS06,ST37CS06,23
ST85,CS13,ST85CS13,78
ST65,CS02,ST65CS02,93
ST19,CS14,ST19CS14,16
ST44,CS01,ST44CS01,29
ST34,CS09,ST34CS09,28
ST75,CS08,ST75CS08,31
ST77,CS02,ST77CS02,39
ST54,CS01,ST54CS01,28
ST90,CS08,ST90CS08,73
ST10,CS05,ST10CS05,90
ST33,CS11,ST33CS11,1
ST89,CS12,ST89CS12,95
ST77,CS17,ST77CS17,43
ST39,CS16,ST39CS16,96
ST09,CS02,ST09CS02,14
ST50,CS13,ST50CS13,40
ST76,CS01,ST76CS01,20
ST51,CS14,ST51CS14,32
ST79,CS10,ST79CS10,96
ST03,CS08,ST03CS08,38
ST37,CS16,ST37CS16,59
ST81,CS03,ST81CS03,25
ST13,CS12,ST13CS12,99
ST48,CS04,ST48CS04,63
ST35,CS12,ST35CS12,77
ST81,CS12,ST81CS12,59
ST31,CS07,ST31CS07,97
ST75,CS13,ST75CS13,68
ST96,CS19,ST96CS19,77
ST03,CS10,ST03CS10,5
ST12,CS06,ST12CS06,22
ST06,CS14,ST06CS14,30
ST22,CS04,ST22CS04,65
ST79,CS01,ST79CS01,30
ST85,CS13,ST85CS13,33
ST23,CS20,ST23CS20,86
ST80,CS11,ST80CS11,14
ST60,CS14,ST60CS14,13
ST89,CS05,ST89CS05,86
ST19,CS01,ST19CS01,27
ST100,CS14,ST100CS14,78
ST32,CS05,ST32CS05,27
ST66,CS17,ST66CS17,83
ST92,CS14,ST92CS14,63
ST85,CS02,ST85CS02,4
ST56,CS13,ST56CS13,57
ST96,CS11,ST96CS11,97
ST79,CS15,ST79CS15,60
ST24,CS10,ST24CS10,82
ST47,CS19,ST47CS19,55
ST98,CS06,ST98CS06,24
ST14,CS18,ST14CS18,88
ST12,CS01,ST12CS01,88
ST33,CS01,ST33CS01,40
ST13,CS06,ST13CS06,47
ST31,CS14,ST31CS14,26
ST18,CS14,ST18CS14,11
ST63,CS20,ST63CS20,40
ST09,CS16,ST09CS16,67
ST22,CS09,ST22CS09,9
ST32,CS17,ST32CS17,17
ST91,CS09,ST91CS09,39
ST82,CS04,ST82CS04,15
ST87,CS11,ST87CS11,45
ST10,CS18,ST10CS18,1
ST52,CS03,ST52CS03,25
ST12,CS06,ST12CS06,0
ST82,CS09,ST82CS09,64
