ProductionID,Location,Production_KWh,Month,Year,LocationID
P001,Porterside,51606,February,2025,L0690
P002,Donaldfurt,91145,December,2021,L0112
P003,Leslieborough,55035,March,2019,L0392
P004,Smithport,7613,April,2021,L0746
P005,Sherriton,65399,May,2021,L0739
P006,East Mollychester,20087,April,2021,L0167
P007,Jonesland,88528,August,2024,L0289
P008,New Christina,26849,July,2011,L0460
P009,Taylorport,89398,June,2021,L0838
P010,Cowanmouth,68794,March,2024,L0085
P011,Lake Richard,69605,June,2012,L0370
P012,New Caseyland,27624,June,2023,L0457
P013,Calhounland,83620,September,2019,L0058
P014,South Matthewberg,44166,April,2022,L0792
P015,Cordovashire,76294,March,2013,L0081
P016,East Joditon,46707,October,2011,L0146
P017,Cynthiaton,11930,September,2013,L0090
P018,East Kayla,70107,December,2016,L0152
P019,Matthewfurt,18042,January,2016,L0412
P020,Brittneyland,21411,November,2014,L0049
P021,New Petermouth,78116,November,2023,L0493
P022,Johnsonfurt,68243,December,2017,L0282
P023,North Nancy,78854,June,2012,L0566
P024,Jenniferton,32318,July,2021,L0274
P025,Port Lesliechester,13634,March,2013,L0659
P026,Meaganton,62386,June,2020,L0420
P027,Michaelmouth,67098,August,2020,L0425
P028,Port Ryanshire,47435,March,2011,L0678
P029,Port Mason,52192,January,2025,L0661
P030,Tateville,85040,May,2012,L0835
P031,New Victoriahaven,83189,September,2014,L0506
P032,Lake Victor,40304,February,2010,L0385
P033,East Teresa,27145,April,2019,L0179
P034,Connorfort,18327,December,2022,L0079
P035,Samuelfurt,28924,March,2015,L0724
P036,South Edwin,37398,January,2016,L0770
P037,East Donaldshire,14171,December,2024,L0134
P038,South Rodney,12307,September,2011,L0801
P039,Hillshire,3836,August,2019,L0243
P040,Jeffreyport,95609,October,2016,L0270
P041,Farrellberg,12459,March,2010,L0197
P042,East Maryville,16198,April,2015,L0161
P043,South Cathyview,16693,March,2010,L0761
P044,Ambermouth,58073,December,2021,L0011
P045,West Megan,19644,January,2023,L0928
P046,Ryanhaven,89349,February,2011,L0722
P047,Susanshire,27782,March,2020,L0829
P048,Johnport,60821,February,2018,L0280
P049,Jameshaven,68103,September,2024,L0258
P050,Maryview,8293,January,2025,L0410
P051,Nelsonfurt,79810,June,2013,L0443
P052,East Sandraton,95708,May,2023,L0173
P053,Stephenstad,8947,June,2012,L0822
P054,Gonzaleztown,32704,December,2021,L0216
P055,Warrentown,42648,September,2012,L0876
P056,South Veronicamouth,96747,December,2014,L0816
P057,Josephton,81206,November,2017,L0293
P058,Port Anthony,77477,November,2025,L0614
P059,Lake Cody,51542,May,2018,L0330
P060,North Amber,95781,December,2021,L0514
P061,Lake Danielle,32305,May,2016,L0332
P062,Cameronbury,83213,October,2021,L0059
