account_id,transaction_id,transaction_type,amount,date
AC136,T01,Deposit,3096,2022-06-15
AC199,T01,Withdrawal,3096,2022-06-15
AC19,T01,Transfer,3096,2022-06-15
AC138,T01,Deposit,3096,2022-06-15
AC75,T01,Withdrawal,3096,2022-06-15
AC93,T01,Transfer,3096,2022-06-15
AC170,T01,Deposit,3096,2022-06-15
AC79,T01,Withdrawal,3096,2022-06-15
AC56,T01,Transfer,3096,2022-06-15
AC198,T01,Deposit,3096,2022-06-15
AC191,T01,Withdrawal,3096,2022-06-15
AC99,T01,Transfer,3096,2022-06-15
AC34,T01,Deposit,3096,2022-06-15
AC165,T01,Withdrawal,3096,2022-06-15
AC136,T01,Transfer,3096,2022-06-15
AC154,T01,Deposit,3096,2022-06-15
AC56,T01,Withdrawal,3096,2022-06-15
AC59,T01,Transfer,3096,2022-06-15
AC191,T01,Deposit,3096,2022-06-15
AC40,T01,Withdrawal,3096,2022-06-15
AC94,T01,Transfer,3096,2022-06-15
AC12,T01,Deposit,3096,2022-06-15
AC22,T01,Withdrawal,3096,2022-06-15
AC100,T01,Transfer,3096,2022-06-15
AC195,T01,Deposit,3096,2022-06-15
AC193,T01,Withdrawal,3096,2022-06-15
AC74,T01,Transfer,3096,2022-06-15
AC17,T01,Deposit,3096,2022-06-15
AC189,T01,Withdrawal,3096,2022-06-15
AC114,T01,Transfer,3096,2022-06-15
AC135,T01,Deposit,3096,2022-06-15
AC181,T01,Withdrawal,3096,2022-06-15
AC21,T01,Transfer,3096,2022-06-15
AC189,T01,Deposit,3096,2022-06-15
AC107,T01,Withdrawal,3096,2022-06-15
AC179,T01,Transfer,3096,2022-06-15
AC160,T01,Deposit,3096,2022-06-15
AC32,T01,Withdrawal,3096,2022-06-15
AC13,T01,Transfer,3096,2022-06-15
AC189,T01,Deposit,3096,2022-06-15
AC37,T01,Withdrawal,3096,2022-06-15
AC27,T01,Transfer,3096,2022-06-15
AC131,T01,Deposit,3096,2022-06-15
AC18,T01,Withdrawal,3096,2022-06-15
AC142,T01,Transfer,3096,2022-06-15
AC187,T01,Deposit,3096,2022-06-15
AC122,T01,Withdrawal,3096,2022-06-15
AC194,T01,Transfer,3096,2022-06-15
AC92,T01,Deposit,3096,2022-06-15
AC135,T01,Withdrawal,3096,2022-06-15
AC143,T01,Transfer,3096,2022-06-15
AC64,T01,Deposit,3096,2022-06-15
AC121,T01,Withdrawal,3096,2022-06-15
AC123,T01,Transfer,3096,2022-06-15
AC126,T01,Deposit,3096,2022-06-15
AC114,T01,Withdrawal,3096,2022-06-15
AC13,T01,Transfer,3096,2022-06-15
AC37,T01,Deposit,3096,2022-06-15
AC53,T01,Withdrawal,3096,2022-06-15
AC50,T01,Transfer,3096,2022-06-15
AC139,T01,Deposit,3096,2022-06-15
AC79,T01,Withdrawal,3096,2022-06-15
AC109,T01,Transfer,3096,2022-06-15
