property_id,type,address,city,state,zip_code,bedrooms,bathrooms,square_footage,year_built,price
P001,Commercial,"244 Brown Fields Suite 769
Velasquezville, PW 16113",North Traci,FL,10702,5,1,3163,1984,39386355
P002,Commercial,"92598 Holt Square Apt. 708
Henryhaven, NM 42434",South John,IN,67158,5,1,4714,1960,36148887
P003,Residential,"0359 Jennifer Islands Suite 024
Wendymouth, WY 67104",West Karenmouth,DE,49051,2,1,4865,1992,51670742
P004,Commercial,"8286 Amanda Route
Youngside, NC 82905",Bellton,MA,64757,4,1,4783,2004,48028139
P005,Residential,"792 Torres Tunnel Suite 846
Jasonville, AZ 62418",North Stevenville,NV,44726,3,3,3045,1985,11761202
P006,Commercial,"91534 Foster Creek Apt. 186
New Laurieville, NE 66772",West Courtney,GU,70202,4,1,2896,1971,42362222
P007,Residential,"13935 Lee Manors Suite 237
North Nicole, GA 13585",Sarahville,NJ,43892,3,1,4760,1955,24508094
P008,Residential,"68363 Sparks Shoal
Perezville, PW 24848",Lake Bobby,HI,84826,1,1,3976,1953,36467764
P009,Residential,"7946 Justin Stream
East Lauraborough, MO 02661",Sandersfurt,ID,81531,1,2,3091,2012,41803877
P010,Commercial,"0846 Ward Knoll
West Johnstad, MT 01206",East Ruthland,WY,68687,2,2,4954,2008,89059541
P011,Commercial,"2372 James Vista
West Elizabeth, MS 92264",Brooksshire,ND,15227,1,1,2688,1966,43328046
P012,Residential,"93663 Castillo Unions
Kelseyberg, IL 51418",Davidshire,MO,67622,1,1,3029,1965,89567378
P013,Residential,"75992 May Drive
Phillipchester, ID 29700",Allisonside,SD,21134,3,1,3304,2004,96000807
P014,Commercial,"0864 Jody Crest Apt. 804
West Aprilton, NH 20018",South Richardmouth,VA,86529,5,3,4832,2005,44586054
P015,Residential,"17045 Peter Vista
Prattmouth, NH 22624",West Alyssa,SD,86376,1,3,3860,2002,81749053
P016,Commercial,"77252 Peters Square
Gonzalezton, SD 97002",Port Williamshire,CT,49653,1,2,2337,2010,53097047
P017,Residential,"38754 Keith Ridges
New Douglasside, NY 33815",Williamshaven,KS,43654,4,2,4682,1978,84097325
P018,Residential,"80105 James Forks Suite 059
South Dakotaview, IN 14751",West Robynfurt,DC,97614,1,3,875,1952,24565321
P019,Commercial,"42595 Krystal Village
North Brandyside, NV 14064",West Steven,CA,55565,2,2,3759,1955,94841655
P020,Residential,"Unit 4338 Box 3331
DPO AA 71398",Port Danielport,MH,79713,1,2,3426,1977,44952078
P021,Residential,"472 Wood Estate
Smithside, NJ 01448",Michaelmouth,MI,77472,3,3,3826,1983,20746037
P022,Residential,"6308 Jared Corner
New Josephshire, NC 28810",Reedside,HI,70370,5,2,1141,1953,57281383
P023,Residential,"PSC 8191, Box 3486
APO AE 98699",New Nicole,VI,87055,5,2,3349,1991,17238901
P024,Residential,"9892 Henry Station Apt. 990
East Brittanybury, IL 67316",Collinsport,NM,56161,5,2,4446,2000,63063851
P025,Commercial,"61130 Vincent Squares Apt. 820
Millerbury, IN 11423",Lake Allisonfurt,ID,58545,1,3,4864,1967,9243093
P026,Residential,"668 Davenport Coves Suite 582
North Dawn, GA 81018",Davemouth,GA,77564,3,1,4334,1981,42180680
P027,Residential,"54663 Andrew Mission Apt. 695
South Jaclyn, IA 32811",Port Patriciamouth,ND,33027,3,2,3275,1987,98166270
