calling_line_id,called_line_id,start_time,call_id,duration
L097,L649,2020-12-22,CAL0001,105
L234,L517,2020-01-15,CAL0002,2432
L872,L034,2019-07-22,CAL0003,641
L468,L186,2022-10-30,CAL0004,1138
L461,L045,2019-03-04,CAL0005,1090
L231,L531,2020-11-28,CAL0006,160
L282,L897,2020-01-23,CAL0007,1516
L323,L056,2022-05-01,CAL0008,1236
L418,L888,2022-07-01,CAL0009,3562
L434,L204,2023-09-16,CAL0010,933
L152,L340,2020-03-03,CAL0011,2095
L698,L198,2024-01-16,CAL0012,1470
L091,L766,2023-11-12,CAL0013,1752
L287,L651,2023-12-12,CAL0014,2041
L391,L857,2021-11-01,CAL0015,1504
L578,L615,2019-07-02,CAL0016,969
L538,L087,2022-06-11,CAL0017,2533
L030,L902,2020-01-05,CAL0018,433
L394,L270,2022-07-16,CAL0019,1537
L865,L147,2021-05-22,CAL0020,1494
L286,L565,2023-07-16,CAL0021,3025
L861,L860,2023-05-02,CAL0022,2931
L644,L583,2020-11-29,CAL0023,2656
L625,L502,2020-04-27,CAL0024,3564
L809,L455,2023-05-31,CAL0025,2454
L596,L298,2020-12-18,CAL0026,3351
L274,L534,2021-10-11,CAL0027,164
L805,L501,2020-05-11,CAL0028,1505
L227,L976,2021-05-20,CAL0029,1803
L151,L338,2020-11-02,CAL0030,2929
L994,L661,2019-03-22,CAL0031,1502
L838,L988,2023-01-09,CAL0032,3327
L922,L423,2020-02-03,CAL0033,1929
L272,L398,2021-09-06,CAL0034,271
L102,L005,2021-09-05,CAL0035,2917
L360,L219,2023-08-11,CAL0036,905
L851,L672,2021-08-24,CAL0037,1794
L897,L098,2022-04-05,CAL0038,2702
L506,L993,2023-08-15,CAL0039,1967
L540,L861,2019-08-09,CAL0040,1268
L245,L786,2019-04-21,CAL0041,1435
L223,L930,2023-02-20,CAL0042,1823
L959,L492,2023-02-20,CAL0043,1984
L792,L090,2020-10-10,CAL0044,1549
L855,L450,2020-01-31,CAL0045,1130
L254,L191,2020-04-17,CAL0046,1408
L480,L468,2022-08-10,CAL0047,2395
L287,L435,2023-03-02,CAL0048,1222
L380,L725,2020-02-20,CAL0049,2974
L123,L627,2023-12-21,CAL0050,2312
L969,L255,2020-07-11,CAL0051,2464
L860,L375,2019-07-24,CAL0052,3367
L069,L207,2019-05-17,CAL0053,2113
L610,L402,2020-01-19,CAL0054,2689
L412,L692,2024-01-11,CAL0055,2521
L094,L333,2024-01-24,CAL0056,2690
L655,L817,2019-04-22,CAL0057,629
L376,L471,2020-07-23,CAL0058,2954
L982,L857,2022-05-19,CAL0059,1681
L754,L009,2023-12-20,CAL0060,699
L736,L834,2021-08-23,CAL0061,1214
L205,L197,2022-01-16,CAL0062,1867
L739,L482,2022-05-24,CAL0063,2266
L356,L301,2021-12-02,CAL0064,1827
L283,L605,2019-10-07,CAL0065,2944
L789,L1000,2019-06-14,CAL0066,3470
L923,L730,2022-10-04,CAL0067,3125
L549,L470,2021-10-09,CAL0068,125
L109,L460,2023-02-15,CAL0069,64
L499,L286,2020-11-16,CAL0070,3126
L434,L104,2020-11-09,CAL0071,2700
L004,L751,2020-08-04,CAL0072,2404
L728,L650,2022-05-16,CAL0073,805
L567,L416,2022-06-20,CAL0074,2667
L580,L115,2021-10-04,CAL0075,785
L552,L989,2021-06-05,CAL0076,1028
L982,L602,2019-02-16,CAL0077,531
L659,L729,2019-08-21,CAL0078,1867
L914,L081,2021-07-29,CAL0079,542
L888,L324,2020-09-13,CAL0080,721
L656,L654,2022-10-06,CAL0081,821
L049,L039,2023-12-09,CAL0082,475
L077,L426,2021-12-28,CAL0083,2467
L442,L126,2020-09-19,CAL0084,136
L997,L353,2023-03-21,CAL0085,953
L491,L112,2023-06-11,CAL0086,88
L264,L304,2021-03-29,CAL0087,417
L095,L503,2022-06-13,CAL0088,2709
L270,L547,2022-09-21,CAL0089,3113
L148,L606,2020-02-15,CAL0090,1611
L224,L031,2022-11-26,CAL0091,1963
L561,L125,2023-09-28,CAL0092,337
L314,L967,2021-12-05,CAL0093,2832
L769,L978,2020-06-09,CAL0094,2727
L844,L218,2023-01-09,CAL0095,952
L841,L667,2019-10-05,CAL0096,313
