line_id,usage_date,usage_id,data_amount
L616,2020-10-07,U001,7846
L777,2023-11-15,U002,2876
L727,2020-02-29,U003,1901
L934,2021-04-21,U004,3033
L982,2023-02-18,U005,3107
L523,2022-12-14,U006,5635
L397,2022-01-16,U007,2535
L038,2020-10-04,U008,7965
L354,2021-08-02,U009,3645
L732,2022-06-06,U010,7023
L010,2022-11-24,U011,8553
L736,2022-04-17,U012,2111
L410,2022-02-06,U013,9767
L854,2024-02-05,U014,3520
L938,2020-10-30,U015,550
L982,2022-07-06,U016,9153
L299,2020-03-17,U017,7824
L622,2021-01-12,U018,9400
L714,2022-04-25,U019,181
L936,2020-05-11,U020,7568
L728,2020-12-27,U021,7771
L190,2021-01-18,U022,7892
L750,2024-02-10,U023,7055
L264,2023-03-21,U024,2164
L243,2021-10-31,U025,1552
L635,2020-07-02,U026,7703
L024,2023-07-29,U027,3585
L039,2020-04-10,U028,786
L333,2022-06-06,U029,8568
L235,2021-12-10,U030,4565
L318,2021-02-28,U031,1389
L577,2023-09-01,U032,1536
L628,2021-09-03,U033,8761
L461,2023-05-18,U034,5174
L392,2020-12-31,U035,6269
L275,2021-01-08,U036,9636
L733,2020-10-25,U037,3274
L896,2022-10-09,U038,9449
L722,2022-10-10,U039,1061
L520,2023-09-03,U040,4349
L131,2021-08-01,U041,2479
L704,2020-03-30,U042,3817
L770,2021-03-31,U043,6039
L788,2023-11-23,U044,851
L360,2020-10-03,U045,3762
L627,2020-04-01,U046,2492
L570,2020-11-19,U047,9841
L565,2021-05-08,U048,4701
L391,2023-01-12,U049,2653
L392,2020-08-25,U050,4061
L174,2022-04-23,U051,3762
L398,2022-09-10,U052,991
L802,2023-02-07,U053,8420
L722,2021-09-07,U054,8232
L747,2021-03-15,U055,1935
L783,2020-04-26,U056,6452
L468,2024-01-12,U057,4224
L928,2023-04-05,U058,5894
L052,2023-08-23,U059,3987
L169,2021-12-10,U060,4253
L723,2023-10-17,U061,970
L300,2022-05-10,U062,8739
L941,2022-05-23,U063,9304
L552,2022-03-23,U064,5069
L967,2023-07-13,U065,5346
L564,2020-02-17,U066,5630
L047,2020-05-26,U067,6539
L898,2022-07-22,U068,5215
L499,2020-06-23,U069,9198
L723,2022-11-09,U070,4394
L379,2022-06-14,U071,4887
L577,2022-02-11,U072,2716
L593,2023-02-18,U073,1551
L156,2020-04-23,U074,6191
L936,2020-07-28,U075,1033
L344,2022-02-27,U076,4350
L871,2023-11-28,U077,762
L815,2021-09-26,U078,2225
L420,2022-02-03,U079,3744
L531,2021-06-12,U080,7469
L569,2020-06-18,U081,2337
L265,2022-06-23,U082,4197
L377,2023-10-08,U083,2589
L320,2023-05-07,U084,5327
L434,2022-09-04,U085,5231
L986,2023-04-01,U086,4992
L650,2021-11-15,U087,9669
L971,2021-11-30,U088,520
L661,2021-08-17,U089,6350
L170,2020-06-07,U090,4211
L434,2020-07-27,U091,5463
L450,2023-09-03,U092,6051
L489,2023-07-06,U093,1864
L440,2020-03-13,U094,2650
L291,2023-01-03,U095,7443
L686,2020-06-08,U096,2076
L344,2022-09-01,U097,2287
L503,2023-06-30,U098,8670
L716,2022-01-30,U099,2444
L747,2023-10-14,U100,8416
L403,2022-11-28,U101,6536
L397,2023-11-07,U102,7146
L568,2023-02-27,U103,2941
L478,2020-06-06,U104,640
L326,2022-05-08,U105,4769
L611,2024-01-11,U106,8742
L794,2023-03-02,U107,6564
L155,2021-04-20,U108,2412
L183,2020-11-29,U109,6027
L747,2021-07-22,U110,5963
L448,2023-04-18,U111,5008
L562,2021-06-15,U112,1308
L777,2021-01-09,U113,1793
L052,2023-03-27,U114,2303
L445,2024-01-26,U115,8463
L631,2022-10-26,U116,526
L390,2021-07-11,U117,6266
L570,2020-10-28,U118,8751
L021,2022-04-11,U119,7624
L372,2021-12-12,U120,5801
L478,2023-05-27,U121,7798
L989,2020-11-25,U122,8295
L403,2021-05-03,U123,8110
L128,2020-03-04,U124,6544
L426,2023-07-06,U125,5164
L037,2022-04-13,U126,6125
L778,2021-07-14,U127,7096
L130,2024-01-18,U128,6359
L490,2023-11-11,U129,8986
L035,2021-08-31,U130,2715
L682,2022-07-31,U131,5763
L287,2021-11-01,U132,4672
L649,2020-04-13,U133,6748
L689,2023-06-17,U134,2819
L722,2023-10-07,U135,9583
L577,2022-07-14,U136,2514
L407,2022-12-12,U137,1457
L811,2023-09-14,U138,5299
L882,2022-01-15,U139,6418
L664,2020-04-10,U140,9074
L752,2021-10-22,U141,2406
L004,2022-05-13,U142,4294
L706,2020-07-02,U143,9490
L447,2023-11-24,U144,4609
L123,2022-08-23,U145,8248
L060,2020-05-07,U146,4811
L479,2021-12-18,U147,8383
L810,2022-01-26,U148,6402
L863,2021-06-02,U149,5581
L262,2022-08-17,U150,8755
L094,2022-09-06,U151,2925
L489,2022-11-23,U152,7756
L443,2023-09-13,U153,523
L771,2023-06-12,U154,1249
L044,2020-11-14,U155,9021
L532,2023-03-01,U156,4778
L273,2021-10-15,U157,7677
L808,2020-03-13,U158,4190
L249,2021-07-29,U159,2477
L430,2021-08-11,U160,5208
L138,2023-03-31,U161,9378
L715,2022-05-08,U162,7791
L479,2020-12-27,U163,7057
L867,2020-03-29,U164,3523
L292,2023-07-04,U165,5262
L904,2022-04-04,U166,6118
L160,2022-01-20,U167,9497
L101,2020-12-16,U168,1360
L761,2021-02-09,U169,6319
L211,2020-02-24,U170,3642
L070,2022-11-19,U171,1162
L661,2020-07-18,U172,7968
L343,2022-10-29,U173,1152
L481,2020-05-17,U174,358
L523,2021-05-08,U175,2862
L626,2022-12-03,U176,7140
L376,2020-09-20,U177,7839
L465,2023-12-01,U178,7880
L198,2020-12-28,U179,6008
L570,2023-10-23,U180,4249
L391,2022-05-13,U181,6900
L228,2022-10-26,U182,2582
L613,2022-06-20,U183,5873
L024,2022-01-28,U184,1017
L898,2021-01-24,U185,1273
L325,2021-02-26,U186,7228
L118,2020-11-02,U187,7772
L883,2022-12-13,U188,6280
L589,2022-10-25,U189,9036
L676,2020-07-04,U190,5064
L482,2022-06-25,U191,5513
L431,2022-08-29,U192,4872
L868,2021-02-03,U193,9350
L163,2023-03-18,U194,2556
L586,2022-06-05,U195,8881
L687,2023-11-03,U196,5077
L062,2023-11-02,U197,1140
L814,2024-01-17,U198,1652
L665,2021-09-26,U199,6934
L957,2023-03-01,U200,3707
L469,2023-09-21,U201,4673
L340,2021-11-19,U202,2737
L533,2023-10-02,U203,4241
L280,2021-07-03,U204,8812
L162,2023-07-30,U205,3887
L371,2021-01-25,U206,4566
L983,2024-01-11,U207,7291
L857,2022-11-16,U208,7629
L274,2020-02-13,U209,9431
L971,2022-11-28,U210,3131
L723,2023-02-05,U211,2818
L306,2021-03-02,U212,9279
L169,2021-10-26,U213,1965
L845,2020-08-14,U214,9322
L498,2024-01-11,U215,5831
L523,2021-05-17,U216,1313
L776,2023-09-11,U217,5463
L609,2023-06-27,U218,9508
L430,2022-01-20,U219,1991
L731,2023-07-20,U220,8149
L157,2021-08-31,U221,5056
L900,2022-01-21,U222,3489
L836,2021-02-08,U223,2436
L358,2023-04-17,U224,5977
L815,2020-05-31,U225,3282
L025,2021-02-08,U226,3776
L724,2020-03-23,U227,1239
L896,2023-07-18,U228,6345
L266,2023-05-26,U229,1685
L743,2022-03-27,U230,3007
L929,2022-05-29,U231,3484
L440,2022-01-03,U232,6247
L197,2023-09-07,U233,1729
L524,2020-02-15,U234,7626
L911,2023-08-22,U235,8920
L834,2022-10-26,U236,8422
L164,2021-04-15,U237,6578
L295,2021-02-13,U238,1213
L650,2022-02-01,U239,4773
L239,2022-08-07,U240,9729
L104,2021-08-17,U241,4289
L269,2020-02-16,U242,1131
L595,2020-04-16,U243,2305
L661,2022-12-05,U244,9288
L818,2022-01-07,U245,3523
L758,2022-01-12,U246,3860
L068,2020-08-05,U247,1321
L1000,2020-05-28,U248,4794
L408,2021-01-05,U249,8190
L833,2020-06-06,U250,4590
L967,2022-11-24,U251,8125
L698,2024-02-06,U252,9073
L493,2021-07-12,U253,7377
L450,2020-08-10,U254,8615
L164,2020-04-12,U255,1043
L738,2023-09-11,U256,8811
L306,2023-04-12,U257,8596
L135,2023-05-28,U258,4533
L163,2020-09-06,U259,6626
L987,2022-02-23,U260,3520
L583,2021-10-16,U261,8947
L047,2023-10-24,U262,1706
L764,2022-06-11,U263,2788
L228,2020-08-18,U264,9637
L879,2021-06-26,U265,8471
L241,2021-12-28,U266,4412
L540,2023-02-21,U267,9985
L933,2023-07-18,U268,5019
L897,2020-04-08,U269,134
L885,2023-10-30,U270,7273
L522,2022-03-21,U271,6874
L271,2022-04-19,U272,4849
L900,2020-08-23,U273,3476
L486,2023-01-20,U274,7677
L484,2021-07-16,U275,6956
L648,2020-03-28,U276,7411
L234,2021-05-27,U277,5119
L929,2021-05-23,U278,810
L546,2020-04-25,U279,8823
L735,2024-01-17,U280,4029
L770,2022-03-21,U281,1266
L234,2023-11-06,U282,4589
L658,2021-07-04,U283,6506
L574,2021-09-06,U284,5280
L099,2023-08-11,U285,9628
L426,2020-12-16,U286,7058
L261,2020-08-19,U287,3136
L736,2021-04-05,U288,3131
L388,2022-07-23,U289,4392
L083,2021-12-09,U290,141
L519,2023-03-23,U291,2585
L129,2020-10-31,U292,1158
L570,2022-09-09,U293,9197
L936,2020-10-01,U294,6783
L327,2023-05-17,U295,2563
L846,2023-05-24,U296,1680
L316,2021-01-29,U297,2670
L510,2022-10-02,U298,1019
L063,2022-12-08,U299,534
L428,2022-03-20,U300,7816
L553,2022-05-04,U301,3532
L208,2023-02-27,U302,6804
L536,2023-08-13,U303,9205
L362,2023-02-17,U304,5430
L215,2022-03-28,U305,6093
L211,2021-08-09,U306,8396
L365,2021-02-17,U307,658
L706,2023-02-16,U308,2661
L381,2020-06-23,U309,7629
L258,2022-11-15,U310,2509
L525,2024-01-05,U311,8037
L980,2022-10-23,U312,6425
L416,2022-12-04,U313,9912
L742,2022-06-11,U314,7620
L332,2021-05-04,U315,2837
L678,2020-05-10,U316,1866
L211,2020-08-04,U317,1974
L623,2020-05-14,U318,6706
L679,2022-11-10,U319,5493
L030,2021-10-26,U320,2173
L445,2022-06-23,U321,385
L202,2020-06-17,U322,7941
L711,2022-06-15,U323,2983
L831,2022-02-28,U324,3472
L497,2022-01-07,U325,115
L170,2021-08-01,U326,6372
L618,2020-08-07,U327,6751
L185,2020-06-16,U328,6345
L424,2024-01-22,U329,7368
L046,2024-01-13,U330,5434
L592,2021-06-02,U331,2525
L238,2022-01-23,U332,9260
L005,2021-02-24,U333,3148
L587,2020-09-24,U334,3525
L495,2021-09-23,U335,584
L802,2022-06-21,U336,3152
L656,2023-02-21,U337,604
L430,2022-10-03,U338,8239
L995,2020-08-24,U339,3719
L035,2021-04-29,U340,6444
L967,2023-03-04,U341,5949
L798,2020-09-29,U342,3013
L379,2022-10-14,U343,7691
L097,2022-07-02,U344,7390
L066,2023-10-19,U345,4709
L607,2020-12-26,U346,147
L793,2021-03-02,U347,3333
L714,2021-08-26,U348,3582
L625,2020-12-27,U349,1402
L536,2021-11-12,U350,875
L354,2020-12-21,U351,8195
L823,2021-04-15,U352,2118
L126,2023-10-04,U353,8675
L145,2021-04-26,U354,7811
L963,2021-09-25,U355,7350
L413,2021-10-27,U356,7828
L057,2021-11-21,U357,9365
L068,2020-04-24,U358,1019
L577,2022-01-16,U359,7528
L469,2023-07-11,U360,6012
L124,2021-05-06,U361,9667
L082,2024-01-17,U362,5867
L924,2020-06-20,U363,9591
L094,2021-05-17,U364,3224
L607,2020-09-24,U365,464
L151,2023-07-07,U366,9537
L483,2023-05-07,U367,1657
L972,2020-07-10,U368,1177
L295,2020-04-26,U369,4856
L544,2022-10-05,U370,5169
L313,2020-07-15,U371,4091
L615,2023-03-31,U372,8021
L286,2021-09-02,U373,6493
L492,2020-08-24,U374,1837
L389,2022-12-24,U375,9720
L404,2022-10-27,U376,5089
L533,2023-10-31,U377,8392
L182,2022-11-01,U378,8476
L488,2023-06-16,U379,237
L476,2021-07-26,U380,6891
L649,2021-09-12,U381,3475
L678,2023-08-21,U382,1650
L864,2022-02-16,U383,4692
L917,2021-10-27,U384,359
L024,2023-04-03,U385,3426
L687,2020-06-24,U386,2922
L956,2020-03-11,U387,9905
L830,2023-07-25,U388,4824
L292,2023-01-25,U389,5773
L148,2022-04-01,U390,8028
L678,2023-06-30,U391,1146
L188,2020-11-07,U392,212
L653,2023-02-16,U393,7652
L293,2021-07-17,U394,676
L051,2022-12-08,U395,5462
L911,2023-10-05,U396,7220
L147,2021-03-18,U397,2653
L087,2021-04-22,U398,2952
L509,2023-06-09,U399,6210
L221,2022-12-24,U400,6400
L473,2020-08-18,U401,4173
L857,2021-12-01,U402,2264
L541,2020-02-25,U403,828
L236,2022-08-26,U404,5767
L648,2022-09-08,U405,7524
L299,2021-04-12,U406,8849
L642,2023-06-16,U407,6881
L193,2023-09-29,U408,9576
L643,2023-02-01,U409,673
L163,2022-03-12,U410,8735
L114,2022-04-21,U411,1962
L835,2021-03-13,U412,102
L910,2022-06-28,U413,5635
L925,2023-11-14,U414,9065
L005,2020-07-25,U415,4461
L737,2023-06-01,U416,3258
L116,2022-06-05,U417,2548
L810,2022-05-15,U418,5188
L311,2022-10-25,U419,978
L766,2023-12-18,U420,2936
L186,2024-01-06,U421,1836
L597,2021-01-03,U422,9389
L328,2020-11-01,U423,4754
L076,2020-11-16,U424,8313
L735,2023-09-02,U425,3397
L663,2020-04-19,U426,7468
L062,2022-12-02,U427,8629
L554,2023-10-08,U428,8678
L577,2022-06-22,U429,1958
L433,2022-10-19,U430,850
L022,2021-12-24,U431,2268
L985,2023-10-30,U432,3980
L060,2020-04-30,U433,4312
L367,2023-02-05,U434,3410
L508,2022-10-08,U435,6957
L068,2021-08-29,U436,3073
L183,2023-03-13,U437,4393
L244,2023-04-05,U438,9898
L312,2021-09-26,U439,8125
L059,2023-09-26,U440,7370
L518,2023-05-12,U441,6017
L615,2020-08-15,U442,1119
L342,2024-01-02,U443,9127
L041,2022-03-19,U444,2877
L661,2023-02-01,U445,4932
L843,2021-04-14,U446,2655
L234,2021-07-19,U447,4013
L370,2021-02-09,U448,1729
L924,2021-04-06,U449,2908
L377,2024-01-15,U450,660
L295,2021-11-12,U451,6757
L456,2020-04-05,U452,6446
L676,2022-06-16,U453,6900
L280,2023-06-11,U454,4313
L091,2020-12-18,U455,7099
L008,2023-08-26,U456,2982
L832,2021-01-06,U457,7697
L816,2022-05-28,U458,5592
L203,2023-04-29,U459,4426
L383,2022-05-14,U460,2636
L627,2021-11-04,U461,6554
L438,2021-08-14,U462,5100
L397,2023-03-16,U463,4332
L390,2022-04-26,U464,6355
L943,2020-07-13,U465,4282
L747,2020-08-10,U466,8121
L115,2022-11-29,U467,3882
L396,2023-08-20,U468,3731
L710,2022-06-27,U469,8014
L060,2023-10-16,U470,4044
L054,2020-11-17,U471,6140
L865,2021-06-13,U472,907
L430,2020-05-11,U473,2189
L901,2020-07-20,U474,9125
L190,2020-04-19,U475,6947
L238,2021-10-25,U476,6019
L220,2021-11-10,U477,2793
L781,2022-08-12,U478,6877
L377,2021-11-27,U479,2573
L337,2022-04-23,U480,8092
L475,2023-09-05,U481,7578
L812,2021-02-21,U482,3859
L515,2023-11-17,U483,8011
L952,2024-01-30,U484,4980
L056,2021-08-11,U485,1464
L730,2022-10-23,U486,9448
L386,2021-08-12,U487,4917
L775,2022-08-31,U488,3353
L621,2023-01-22,U489,8313
L379,2023-05-25,U490,4930
L758,2020-05-14,U491,1420
L642,2021-08-14,U492,9425
L081,2020-08-08,U493,6180
L144,2021-04-27,U494,7872
L213,2022-04-26,U495,3406
L142,2022-03-10,U496,3124
L950,2020-08-17,U497,4012
L127,2022-03-04,U498,7855
L526,2022-01-12,U499,8439
L226,2021-09-15,U500,7068
L133,2023-06-14,U501,8864
L768,2020-06-30,U502,8411
L338,2023-03-12,U503,2109
L554,2022-06-10,U504,9492
L443,2022-04-16,U505,1150
L141,2024-02-11,U506,7383
L228,2022-05-19,U507,4576
L882,2023-09-10,U508,8703
L422,2022-07-27,U509,5388
L400,2020-08-16,U510,4729
L770,2021-04-08,U511,8808
L638,2021-02-12,U512,3796
L834,2021-05-12,U513,270
L441,2021-03-07,U514,7235
L375,2023-08-29,U515,9703
L854,2023-06-01,U516,8916
L282,2023-04-22,U517,7513
L775,2020-05-25,U518,5682
L188,2020-10-31,U519,128
L498,2021-02-09,U520,1042
L472,2020-10-26,U521,2420
L088,2023-01-05,U522,7464
L776,2023-10-19,U523,2621
L913,2021-06-18,U524,7672
L240,2020-08-08,U525,6817
L470,2023-07-06,U526,9038
L611,2024-01-18,U527,4964
L933,2023-03-02,U528,4570
L083,2023-04-11,U529,2007
L811,2023-09-26,U530,6325
L661,2023-02-04,U531,8212
L701,2023-10-28,U532,8632
L444,2023-07-08,U533,3601
L323,2020-10-22,U534,604
L671,2023-12-07,U535,8873
L211,2021-02-13,U536,9910
L174,2022-02-17,U537,797
L278,2024-02-09,U538,7239
L521,2021-05-01,U539,5354
L385,2020-07-03,U540,1856
L304,2023-11-10,U541,9360
