sender_line_id,recipient_line_id,send_time,message_id,content
L443,L094,2020-07-04,M0001,Hey
L896,L084,2022-03-03,M0002,"Not much, just chilling."
L689,L092,2023-01-09,M0003,"Everything's great, thanks for asking!"
L196,L968,2023-07-23,M0004,Hello
L628,L978,2020-06-07,M0005,"Not much, just chilling."
L446,L337,2021-10-17,M0006,We should hang out!
L525,L743,2023-06-27,M0007,We should hang out!
L554,L894,2022-12-24,M0008,Hello
L290,L982,2022-10-03,M0009,What's up?
L502,L396,2020-07-30,M0010,Hello
L431,L218,2022-05-15,M0011,Hi
L665,L990,2021-10-22,M0012,How's it going?
L095,L266,2021-06-17,M0013,"I'm good, thanks!"
L626,L756,2023-05-01,M0014,How are you?
L221,L712,2020-10-02,M0015,Hi
L538,L950,2023-09-16,M0016,Hey
L688,L805,2021-06-28,M0017,Hi
L059,L073,2020-06-24,M0018,We should hang out!
L478,L359,2022-09-26,M0019,Hello
L618,L099,2022-02-11,M0020,Wanna grab coffee sometime?
L307,L640,2023-01-13,M0021,Hey
L768,L651,2023-05-03,M0022,Let's catch up soon!
L368,L489,2021-06-07,M0023,Hello
L530,L850,2022-06-04,M0024,"Everything's great, thanks for asking!"
L037,L446,2021-01-06,M0025,Hi
L667,L258,2022-06-27,M0026,"Everything's great, thanks for asking!"
L498,L277,2021-05-11,M0027,We should hang out!
L090,L701,2020-10-21,M0028,Hi
L151,L120,2023-11-05,M0029,"I'm good, thanks!"
L940,L124,2021-03-28,M0030,Hey
L349,L747,2023-06-26,M0031,What's up?
L670,L824,2020-06-25,M0032,Hello
L943,L709,2022-02-06,M0033,Hey
L548,L015,2023-05-17,M0034,Wanna grab coffee sometime?
L042,L181,2024-01-28,M0035,"Everything's great, thanks for asking!"
L904,L751,2021-07-06,M0036,"Everything's great, thanks for asking!"
L154,L627,2023-12-27,M0037,How are you?
L906,L984,2021-11-19,M0038,Hello
L155,L927,2020-10-31,M0039,How's it going?
L176,L156,2022-04-03,M0040,Hello
L264,L531,2022-03-22,M0041,We should hang out!
L716,L604,2021-09-01,M0042,Hello
L884,L513,2021-09-12,M0043,Hello
L671,L240,2022-10-14,M0044,How's it going?
L942,L514,2022-08-17,M0045,We should hang out!
L655,L272,2023-07-10,M0046,What's up?
L727,L924,2023-12-17,M0047,Hello
L467,L017,2023-10-25,M0048,Hi
L591,L542,2021-05-21,M0049,Hello
L510,L069,2023-10-30,M0050,How are you?
L812,L054,2023-01-03,M0051,Hi
L502,L596,2022-03-28,M0052,Let's catch up soon!
L951,L837,2022-01-16,M0053,What's up?
L973,L545,2020-08-27,M0054,Hey
L518,L677,2023-12-10,M0055,"Everything's great, thanks for asking!"
L428,L696,2021-06-22,M0056,Wanna grab coffee sometime?
L105,L662,2021-06-18,M0057,How are you?
L833,L331,2020-07-09,M0058,Hey
L711,L993,2020-05-31,M0059,Hello
L737,L212,2022-06-03,M0060,Wanna grab coffee sometime?
L831,L435,2022-08-10,M0061,"I'm good, thanks!"
L605,L953,2023-08-13,M0062,How are you?
L971,L830,2022-02-08,M0063,"I'm good, thanks!"
L486,L554,2020-08-14,M0064,Hi
L487,L689,2022-01-03,M0065,Hey
L714,L596,2021-08-13,M0066,Hi
L179,L708,2020-03-13,M0067,"Not much, just chilling."
